Item,Year,Import,Export ,Production,Consumption
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1993,892.0,763.0,0.0,129.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1994,892.0,2038.0,0.0,-1146.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1995,771.0,3628.0,0.0,-2857.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1996,1084.0,3996.0,0.0,-2912.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1997,1100.0,6064.0,0.0,-4964.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1998,996.0,5280.0,0.0,-4284.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1999,971.0,7673.0,0.0,-6702.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,815.42,8322.34,0.0,-7506.92
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,1325.0,7259.0,2000.0,-3934.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,1386.0,5449.0,7600.0,3537.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,1498.0,6393.0,8000.0,3105.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,1220.0,6885.0,10400.0,4735.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,1308.0,8070.0,8900.0,2138.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,1487.0,7259.0,11268.11,5496.11
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,1562.0,11329.0,11000.0,1233.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,1802.0,7698.0,9704.0,3808.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,1911.0,7113.0,8000.0,2798.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2560.0,7060.0,9236.14,4736.14
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2005.0,5597.0,11048.11,7456.11
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,2280.0,4577.0,11291.72,8994.72
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2013,3250.0,6489.0,11644.82,8405.82
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,2861.54,6717.6,11616.51,7760.45
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,2751.99,6579.2,12634.56,8807.35
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,2753.58,6550.41,11965.29,8168.46
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2017,3266.69,5806.86,12090.74,9550.57
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,3326.0,5407.02,12362.27,10281.25
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,3832.05,5701.64,12621.49,10751.9
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,4493.76,4965.32,12358.17,11886.61
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,4668.76,4842.2,12447.31,12273.87
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,4446.25,3463.61,12475.65,13458.29
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,4567.83,4232.22,12427.04,12762.65
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1993,3219.0,89.0,0.0,3130.0
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1994,3551.0,86.0,0.0,3465.0
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1995,3691.0,201.0,0.0,3490.0
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1996,3559.0,117.0,0.0,3442.0
