Year,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Cinnamon and cinnamon-tree flowers, raw","Cloves (whole stems), raw","Ginger, raw","Nutmeg, mace, cardamoms, raw","Pepper (Piper spp.), raw","Vanilla, raw"
1993,129.0,3130.0,85086.0,1050.0,120.0,2850.0,173.0,3553.0,22.0
1994,No Info,3465.0,92120.0,1020.0,100.0,3460.0,227.0,3538.0,54.0
1995,No Info,3490.0,91567.0,926.0,100.0,3580.0,278.0,3576.0,91.0
1996,No Info,3442.0,103173.0,1147.0,61.0,3663.0,295.0,4290.0,No Info
1997,No Info,3718.0,105596.0,1187.0,129.0,4314.0,285.0,4040.0,42.0
1998,No Info,3282.0,98566.0,812.0,123.0,4921.0,381.0,4465.0,No Info
1999,No Info,4076.0,100615.0,635.0,167.0,4528.0,482.0,5374.0,No Info
2000,No Info,3811.75,107696.81,651.88,157.75,4533.0,491.94,4660.1,No Info
2001,No Info,4128.0,109091.0,709.0,318.0,5298.0,710.0,4745.0,No Info
2002,3537.0,4278.0,91984.0,877.0,381.0,4155.0,587.0,5002.0,No Info
2003,3105.0,4506.0,85730.0,1107.0,335.0,3056.0,605.0,4784.0,No Info
2004,4735.0,4410.0,83297.0,1493.0,133.0,6389.0,454.0,4839.0,62.0
2005,2138.0,4770.0,86678.0,1851.0,187.0,7317.0,362.0,5307.0,28.0
2006,5496.11,6680.0,88759.0,1526.0,135.0,8156.0,366.0,5728.0,119.0
2007,1233.0,5662.0,75563.0,1747.0,187.0,8502.0,345.0,5909.0,249.0
2008,3808.0,5901.0,78508.0,1677.0,204.0,9362.0,421.0,5570.0,251.0
2009,2798.0,6338.0,75396.0,1646.0,194.0,9924.0,405.0,5412.0,247.0
2010,4736.14,5834.0,60086.0,1638.0,138.0,9480.0,375.0,5236.0,311.0
2011,7456.11,6053.0,71399.0,1714.0,140.0,11229.0,609.0,5020.0,105.0
2012,8994.72,6387.0,68472.0,1649.0,312.0,12732.0,777.0,5381.0,No Info
2013,8405.82,6143.0,68756.0,2071.0,241.0,11853.0,706.0,5268.0,No Info
2014,7760.45,6214.65,63893.27,1934.19,196.96,12393.77,429.52,5405.33,27.51
2015,8807.35,6247.67,62015.19,2041.63,165.78,13637.9,479.65,5312.66,No Info
2016,8168.46,6238.2,50032.31,1869.5,194.2,14463.95,443.47,5553.26,3.0
2017,9550.57,6709.27,61915.02,2332.49,101.9,15877.92,437.78,6191.08,1566.27
2018,10281.25,7680.36,63105.46,2470.11,165.56,17215.61,616.12,6390.85,159.22
2019,10751.9,8645.86,51445.49,2347.24,156.68,17806.66,367.93,6559.67,218.6
2020,11886.61,9162.53,35698.29,2207.2,197.91,19895.37,923.77,6773.41,84.56
2021,12273.87,10214.75,48173.67,2663.53,270.37,21111.99,964.64,7931.79,154.64
2022,13458.29,10109.92,33388.31,2859.49,313.77,21054.38,1416.84,7363.83,81.67
2023,12762.65,9827.17,39832.89,2370.12,259.38,19285.17,831.7,7344.27,9.92
